metric,value
candidate_generation_ms,84.31500000006054
candidate_pair_count,100
candidate_backend_requested,pairwise
candidate_backend_used,pairwise
hnsw_available,False
total_runtime_ms,58361.020699999994
embedding_backend,sentence-transformers
dbnf_mode,version_drift
eenf_mode,not_evaluated
