DecisionID,AttributeA,AttributeB,Track,Decision,Reason,LineageAction,CanonicalNode,FamilyA,FamilyB,RoleA,RoleB,EvidenceScore,EmbeddingSimilarity,NameSimilarity,SupportCount,AANF,ECNF,RRNF,CMNF,PONF,DBNF,HardVetoes
dec::v17::iso20022_debtor_name::iso20022_creditor_name::discovery,ISO20022.dbtr_nm,ISO20022.cdtr_nm,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,debtor_name|creditor_name,party:debtor_name,party:creditor_name,debtor,creditor,0.3503018478896538,0.8103862320656776,0.3333333333333333,1,FAIL,DEFER,FAIL,PASS,PASS,PASS,role conflict: debtor vs creditor; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto
dec::v17::iso20022_debtor_name::iso20022_debtor_account::discovery,ISO20022.dbtr_nm,ISO20022.dbtr_acct,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,debtor_name|debtor_account,party:debtor_name,payment_account:debtor_account,debtor,debtor_account,0.33188400035310456,0.7577638105326797,0.3333333333333333,1,FAIL,DEFER,PASS,PASS,FAIL,PASS,
dec::v17::iso20022_creditor_name::iso20022_creditor_account::discovery,ISO20022.cdtr_nm,ISO20022.cdtr_acct,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,creditor_name|creditor_account,party:creditor_name,payment_account:creditor_account,creditor,creditor_account,0.3319495764265799,0.7579511707426093,0.3333333333333333,1,FAIL,DEFER,PASS,PASS,FAIL,PASS,
dec::v17::iso20022_debtor_account::iso20022_creditor_account::discovery,ISO20022.dbtr_acct,ISO20022.cdtr_acct,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,debtor_account|creditor_account,payment_account:debtor_account,payment_account:creditor_account,debtor_account,creditor_account,0.3562094781642109,0.8272651757072693,0.3333333333333333,1,FAIL,DEFER,FAIL,PASS,PASS,PASS,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:creditor_account; role conflict: debtor vs creditor; schema-declared do_not_merge_with_families veto; explicit negative pair hard veto
dec::v17::iso20022_debtor_account::plaid_account_identifier::discovery,ISO20022.dbtr_acct,Plaid.account_id,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,debtor_account|account_identifier,payment_account:debtor_account,identifier:plaid_account,debtor_account,plaid_account_identifier,0.2610003560670209,0.5552391125724406,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,
dec::v17::iso20022_debtor_account::plaid_account_number::discovery,ISO20022.dbtr_acct,Plaid.account_number,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_number,REJECT_BY_NORMAL_FORM,debtor_account|bank_account_number,payment_account:debtor_account,payment_account:account_number,debtor_account,bank_account_identifier,0.26633338759153197,0.5704763454996152,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_number
dec::v17::iso20022_debtor_account::plaid_account_type::discovery,ISO20022.dbtr_acct,Plaid.account_type,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_type,REJECT_BY_NORMAL_FORM,debtor_account|account_type,payment_account:debtor_account,payment_account:account_type,debtor_account,account_classification,0.2785652273991234,0.6054244592355909,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:account_type
dec::v17::iso20022_debtor_account::upi_payer_account::discovery,ISO20022.dbtr_acct,UPI.payer_account,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,debtor_account|payer_account,payment_account:debtor_account,payment_account:payer_account,debtor_account,payer_account,0.2814176241565805,0.6135741642568967,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:debtor_account vs payment_account:payer_account; explicit negative pair hard veto
dec::v17::iso20022_creditor_account::plaid_account_identifier::discovery,ISO20022.cdtr_acct,Plaid.account_id,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,creditor_account|account_identifier,payment_account:creditor_account,identifier:plaid_account,creditor_account,plaid_account_identifier,0.23336743945776528,0.4762879222602818,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,FAIL,PASS,
dec::v17::iso20022_creditor_account::plaid_account_number::discovery,ISO20022.cdtr_acct,Plaid.account_number,discovery,REJECT_UNSAFE,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_number,REJECT_BY_NORMAL_FORM,creditor_account|bank_account_number,payment_account:creditor_account,payment_account:account_number,creditor_account,bank_account_identifier,0.26787159324349397,0.5748712187909352,0.3333333333333333,0,FAIL,DEFER,PASS,FAIL,PASS,PASS,account/card subtypes are ambiguous: payment_account:creditor_account vs payment_account:account_number
