DecisionID,AttributeA,AttributeB,Track,Decision,Reason,LineageAction,CanonicalNode,FamilyA,FamilyB,RoleA,RoleB,EvidenceScore,EmbeddingSimilarity,NameSimilarity,SupportCount,AANF,ECNF,RRNF,CMNF,PONF,DBNF,HardVetoes,PromotionRule,AuditFlags,CMNFMatrixApplied
dec::v18::mastercard_transaction_amount::stripe_amount::production,Mastercard.transaction_amount,Stripe.amount,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.8043,min_ev=0.68",MERGE_BY_CMNF_MATRIX,payment_amount,payment:amount,payment:amount,transaction_amount,payment_amount_minor_units,0.8042930897381332,0.7265516849660949,0.5,5,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_amount
dec::v18::mastercard_transaction_amount::upi_transaction_amount::production,Mastercard.transaction_amount,UPI.txn_amount,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.8763,min_ev=0.68",MERGE_BY_CMNF_MATRIX,payment_amount,payment:amount,payment:amount,transaction_amount,transaction_amount,0.8762633244081879,0.6464666411662512,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_amount
dec::v18::plaid_transaction_amount::razorpay_amount::production,Plaid.transaction_amount,Razorpay.amount,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.7521,min_ev=0.68",MERGE_BY_CMNF_MATRIX,payment_amount,payment:amount,payment:amount,transaction_amount,payment_amount_minor_units,0.7520578916429523,0.5773082618370066,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_amount
dec::v18::plaid_transaction_amount::stripe_amount::production,Plaid.transaction_amount,Stripe.amount,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.7957,min_ev=0.68",MERGE_BY_CMNF_MATRIX,payment_amount,payment:amount,payment:amount,transaction_amount,payment_amount_minor_units,0.79571660303729,0.7020474372493999,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_amount
dec::v18::plaid_transaction_amount::upi_transaction_amount::production,Plaid.transaction_amount,UPI.txn_amount,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.8790,min_ev=0.68",MERGE_BY_CMNF_MATRIX,payment_amount,payment:amount,payment:amount,transaction_amount,transaction_amount,0.8789564477351572,0.6541612792433064,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_amount
dec::v18::razorpay_amount::stripe_amount::production,Razorpay.amount,Stripe.amount,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.8409,min_ev=0.68",MERGE_BY_CMNF_MATRIX,payment_amount,payment:amount,payment:amount,payment_amount_minor_units,payment_amount_minor_units,0.840910034265278,0.6883143836150799,1.0,3,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_amount
dec::v18::razorpay_amount::upi_transaction_amount::production,Razorpay.amount,UPI.txn_amount,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.7468,min_ev=0.68",MERGE_BY_CMNF_MATRIX,payment_amount,payment:amount,payment:amount,payment_amount_minor_units,transaction_amount,0.7468109435755529,0.5623169816444367,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_amount
dec::v18::stripe_amount::upi_transaction_amount::production,Stripe.amount,UPI.txn_amount,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.7702,min_ev=0.68",MERGE_BY_CMNF_MATRIX,payment_amount,payment:amount,payment:amount,payment_amount_minor_units,transaction_amount,0.7701817011742366,0.629090574783533,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_amount
dec::v18::iso20022_currency::plaid_currency::production,ISO20022.currency,Plaid.currency,production,ACCEPT_MERGE,"same_canon_same_family:score=0.8688,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.8688214051786121,0.6252040147960345,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_currency
dec::v18::iso20022_currency::razorpay_currency::production,ISO20022.currency,Razorpay.currency,production,ACCEPT_MERGE,"cmnf_canonical_safe:score=0.9103,min_ev=0.9",MERGE_BY_CMNF_MATRIX,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.9102887387276847,0.7436821106505276,1.0,5,PASS,PASS,PASS,PASS,PASS,PASS,,cmnf_canonical_safe_promotion,,payment_currency
dec::v18::iso20022_currency::stripe_currency::production,ISO20022.currency,Stripe.currency,production,ACCEPT_MERGE,"same_canon_same_family:score=0.8905,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.8905217359042753,0.6872049597265008,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_currency
dec::v18::iso20022_currency::upi_currency::production,ISO20022.currency,UPI.currency,production,ACCEPT_MERGE,"same_canon_same_family:score=0.8827,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.8827470606242435,0.6649916017835525,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_currency
dec::v18::plaid_currency::razorpay_currency::production,Plaid.currency,Razorpay.currency,production,ACCEPT_MERGE,"same_canon_same_family:score=0.8064,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.8064012179212176,0.589717765489193,1.0,3,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_currency
dec::v18::plaid_currency::stripe_currency::production,Plaid.currency,Stripe.currency,production,ACCEPT_MERGE,"same_canon_same_family:score=0.8399,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.8399333304841616,0.685523801383319,1.0,3,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_currency
dec::v18::plaid_currency::upi_currency::production,Plaid.currency,UPI.currency,production,ACCEPT_MERGE,"same_canon_same_family:score=0.8006,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.8006284850234883,0.5732242429242522,1.0,3,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_currency
dec::v18::razorpay_currency::stripe_currency::production,Razorpay.currency,Stripe.currency,production,ACCEPT_MERGE,"same_canon_same_family:score=0.8600,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.859954461000819,0.7427270314309113,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_currency
dec::v18::razorpay_currency::upi_currency::production,Razorpay.currency,UPI.currency,production,ACCEPT_MERGE,"same_canon_same_family:score=0.8164,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.8164059954712348,0.6183028442035279,1.0,3,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_currency
dec::v18::stripe_currency::upi_currency::production,Stripe.currency,UPI.currency,production,ACCEPT_MERGE,"same_canon_same_family:score=0.8241,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.8240546285667711,0.6401560816193459,1.0,3,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_currency
dec::v18::plaid_transaction_identifier::upi_transaction_identifier::production,Plaid.transaction_id,UPI.txn_id,production,ACCEPT_MERGE,alias_hit_promotion:score=0.6732,MERGE_BY_ALIAS,transaction_identifier,identifier:transaction,identifier:upi_transaction,transaction_identifier,upi_transaction_identifier,0.6732067887338066,0.6377336820965902,1.0,3,PASS,PASS,PASS,FAIL,PASS,PASS,,alias_overlap_promotion,,
dec::v18::razorpay_method::stripe_payment_method::production,Razorpay.method,Stripe.payment_method,production,ACCEPT_MERGE,"same_canon_same_family:score=0.7702,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_method,payment:method,payment:method,payment_method,payment_method_reference,0.7701546694217979,0.6290133412051367,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_method
