DecisionID,AttributeA,AttributeB,Track,Decision,Reason,LineageAction,CanonicalNode,FamilyA,FamilyB,RoleA,RoleB,EvidenceScore,EmbeddingSimilarity,NameSimilarity,SupportCount,AANF,ECNF,RRNF,CMNF,PONF,DBNF,HardVetoes,PromotionRule,AuditFlags,CMNFMatrixApplied
dec::v18::razorpay_currency::stripe_currency::discovery,Razorpay.currency,Stripe.currency,discovery,ACCEPT_MERGE,"same_canon_same_family:score=0.8849,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.8849434015755534,0.6712668616444384,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_currency
dec::v18::razorpay_currency::upi_currency::discovery,Razorpay.currency,UPI.currency,discovery,ACCEPT_MERGE,"same_canon_same_family:score=0.8757,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.8756947880903944,0.6448422516868411,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_currency
dec::v18::stripe_currency::upi_currency::discovery,Stripe.currency,UPI.currency,discovery,ACCEPT_MERGE,"same_canon_same_family:score=0.8904,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_currency,payment:currency,payment:currency,currency_code,currency_code,0.8904232170224958,0.6869234772071308,1.0,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_currency
dec::v18::plaid_transaction_identifier::razorpay_razorpay_payment_identifier::discovery,Plaid.transaction_id,Razorpay.razorpay_payment_id,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,payment_identifier,identifier:transaction,identifier:razorpay_payment,transaction_identifier,payment_object_identifier,0.44487558797418514,0.41393025135481465,0.25,2,PASS,DEFER,PASS,FAIL,PASS,PASS,,,,
dec::v18::plaid_transaction_identifier::stripe_payment_intent_identifier::discovery,Plaid.transaction_id,Stripe.payment_intent_id,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,payment_identifier,identifier:transaction,identifier:payment_intent,transaction_identifier,payment_intent_object_identifier,0.4451322142712617,0.4146634693464619,0.25,2,PASS,DEFER,PASS,FAIL,PASS,PASS,,,,
dec::v18::plaid_transaction_identifier::upi_transaction_identifier::discovery,Plaid.transaction_id,UPI.txn_id,discovery,ACCEPT_MERGE,alias_hit_promotion:score=0.6934,MERGE_BY_ALIAS,payment_identifier,identifier:transaction,identifier:upi_transaction,transaction_identifier,upi_transaction_identifier,0.6933854463390907,0.6953869895402591,1.0,3,PASS,PASS,PASS,FAIL,PASS,PASS,,alias_overlap_promotion,,
dec::v18::razorpay_razorpay_payment_identifier::stripe_payment_intent_identifier::discovery,Razorpay.razorpay_payment_id,Stripe.payment_intent_id,discovery,REJECT_UNSAFE,explicit negative pair hard veto,REJECT_UNSAFE_MERGE,payment_identifier,identifier:razorpay_payment,identifier:payment_intent,payment_object_identifier,payment_intent_object_identifier,0.5338702057640392,0.525343445040112,0.5,3,PASS,DEFER,PASS,PASS,PASS,PASS,explicit negative pair hard veto,,,
dec::v18::razorpay_razorpay_payment_identifier::upi_transaction_identifier::discovery,Razorpay.razorpay_payment_id,UPI.txn_id,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,payment_identifier,identifier:razorpay_payment,identifier:upi_transaction,payment_object_identifier,upi_transaction_identifier,0.41612942472453124,0.3317983563558035,0.25,2,PASS,DEFER,PASS,FAIL,PASS,PASS,,,,
dec::v18::stripe_payment_intent_identifier::upi_transaction_identifier::discovery,Stripe.payment_intent_id,UPI.txn_id,discovery,DEFER,insufficient evidence,DEFER_CANDIDATE,payment_identifier,identifier:payment_intent,identifier:upi_transaction,payment_intent_object_identifier,upi_transaction_identifier,0.43688466402415854,0.39109904006902435,0.25,2,PASS,DEFER,PASS,FAIL,PASS,PASS,,,,
dec::v18::razorpay_method::stripe_payment_method::discovery,Razorpay.method,Stripe.payment_method,discovery,ACCEPT_MERGE,"same_canon_same_family:score=0.7731,tau=0.72",MERGE_BY_CANONICAL_FAMILY,payment_method,payment:method,payment:method,payment_method,payment_method_reference,0.7731308906465414,0.6375168304186897,0.5,4,PASS,PASS,PASS,PASS,PASS,PASS,,same_canonical_same_family_promotion,,payment_method
