mode,requested_a,requested_b,pair_key,attr_a,attr_b,final_decision,reason,AANF_status,ECNF_status,CMNF_status
no_ecnf,amount,txn_amount,amount <-> transaction amount,transaction_amount,amount,MERGE,AANF+CMNF only; ECNF ablated,PASS,PASS,PASS
no_cmnf,amount,txn_amount,amount <-> transaction amount,transaction_amount,amount,MERGE,AANF+ECNF only; CMNF ablated,PASS,PASS,PASS
no_dbnf,amount,txn_amount,amount <-> transaction amount,transaction_amount,amount,MERGE,AANF/ECNF/CMNF passed with bridge: payment_amount_ontology_regex_bridge,PASS,PASS,PASS
no_value_evidence,amount,txn_amount,amount <-> transaction amount,transaction_amount,amount,DEFER,ECNF failed,PASS,FAIL,PASS
vss_only,amount,txn_amount,amount <-> transaction amount,transaction_amount,amount,MERGE,single/limited evidence mode threshold,PASS,PASS,PASS
shape_only,amount,txn_amount,amount <-> transaction amount,transaction_amount,amount,MERGE,single/limited evidence mode threshold,PASS,PASS,PASS
name_ontology_only,amount,txn_amount,amount <-> transaction amount,transaction_amount,amount,DEFER,limited evidence below gamma,PASS,BRIDGED_PASS,PASS
hybrid,amount,txn_amount,amount <-> transaction amount,transaction_amount,amount,MERGE,AANF/ECNF/CMNF passed with bridge: payment_amount_ontology_regex_bridge,PASS,PASS,PASS
embed_only_baseline,pan,account_number,account number <-> primary account number,primary_account_number,account_number,MERGE,embedding cosine threshold only,PASS,PASS,PASS
sdnf_hybrid,pan,account_number,account number <-> primary account number,primary_account_number,account_number,MERGE,AANF/ECNF/CMNF passed with bridge: payment_account_number_regex_shape_bridge,PASS,PASS,PASS
no_ecnf,pan,account_number,account number <-> primary account number,primary_account_number,account_number,MERGE,AANF+CMNF only; ECNF ablated,PASS,PASS,PASS
no_cmnf,pan,account_number,account number <-> primary account number,primary_account_number,account_number,MERGE,AANF+ECNF only; CMNF ablated,PASS,PASS,PASS
no_dbnf,pan,account_number,account number <-> primary account number,primary_account_number,account_number,MERGE,AANF/ECNF/CMNF passed with bridge: payment_account_number_regex_shape_bridge,PASS,PASS,PASS
no_value_evidence,pan,account_number,account number <-> primary account number,primary_account_number,account_number,DEFER,ECNF failed,PASS,FAIL,PASS
vss_only,pan,account_number,account number <-> primary account number,primary_account_number,account_number,MERGE,single/limited evidence mode threshold,PASS,PASS,PASS
shape_only,pan,account_number,account number <-> primary account number,primary_account_number,account_number,MERGE,single/limited evidence mode threshold,PASS,PASS,PASS
name_ontology_only,pan,account_number,account number <-> primary account number,primary_account_number,account_number,MERGE,single/limited evidence mode threshold,PASS,PASS,PASS
hybrid,pan,account_number,account number <-> primary account number,primary_account_number,account_number,MERGE,AANF/ECNF/CMNF passed with bridge: payment_account_number_regex_shape_bridge,PASS,PASS,PASS
