mode,eval_type,drift_tau,detected_count,true_drift_count,tp,fp,fn,precision,recall,f1,accuracy_if_defined,detected_set,true_set,tp_set,fp_set,fn_set,measurable
embed_only_baseline,exploratory,0.15,10,4,0,10,4,0.0,0.0,0.0,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,True
sdnf_hybrid,exploratory,0.15,10,4,0,10,4,0.0,0.0,0.0,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,True
no_ecnf,exploratory,0.15,10,4,0,10,4,0.0,0.0,0.0,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,True
no_cmnf,exploratory,0.15,10,4,0,10,4,0.0,0.0,0.0,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,True
no_dbnf,exploratory,0.15,10,4,0,10,4,0.0,0.0,0.0,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,True
no_value_evidence,exploratory,0.15,10,4,0,10,4,0.0,0.0,0.0,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,True
vss_only,exploratory,0.15,10,4,0,10,4,0.0,0.0,0.0,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,True
shape_only,exploratory,0.15,10,4,0,10,4,0.0,0.0,0.0,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,True
name_ontology_only,exploratory,0.15,10,4,0,10,4,0.0,0.0,0.0,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,True
hybrid,exploratory,0.15,10,4,0,10,4,0.0,0.0,0.0,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,,account type; debtor account; debtor name; merchant category code; payer account; payment method; primary account number; status; transaction amount; transaction status,account number; description; iso currency code; payer name,True
