mode,attr_a,attr_b,normalized_pair_a,normalized_pair_b,pair_key,source_a,source_b,context_a,context_b,cosine_similarity,name_similarity,ontology_root_a,ontology_root_b,ontology_match,value_cooccurrence,regex_a,regex_b,regex_match,regex_compatible,vss_similarity,shape_similarity,aggregate_score,evidence_signal_count,AANF_status,ECNF_status,CMNF_status,AANF_basis,ECNF_basis,CMNF_basis,bridge_rule_applied,bridge_rule_name,bridge_blocked_reason,bridge_safety_status,candidate_generation_source,final_decision,reason,lineage_id,is_predicted_merge,would_have_accepted_without_veto,veto_reason,is_in_true_pairs,is_in_negative_pairs,error_class,semantic_family
embed_only_baseline,//source,schema_id,schema identifier,source,schema identifier <-> source,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8113800883293152,0.0,,identifier,False,1.0,mixed,mixed,True,False,0.9976481199264526,0.0,0.6240816593170166,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000057,True,True,,False,False,FP,|identifier
embed_only_baseline,//source,entity,entity,source,entity <-> source,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8956665396690369,0.0,,,False,1.0,mixed,mixed,True,False,0.9980958700180054,0.0,0.6578857898712158,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000058,True,True,,False,False,FP,|
embed_only_baseline,//source,version,source,version,source <-> version,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.9260575175285339,0.0,,,False,1.0,mixed,mixed,True,False,0.988430380821228,0.0,0.6681090831756592,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000059,True,True,,False,False,FP,|
embed_only_baseline,//source,name,name,source,name <-> source,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.9520910978317261,0.0,,party:name,False,0.25,mixed,mixed,True,False,0.9806429147720337,0.0,0.6769650220870972,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000060,True,True,,False,False,FP,|party:name
embed_only_baseline,//source,type,source,type,source <-> type,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.9426482319831848,0.0,,payment:account_type,False,0.25,mixed,mixed,True,False,0.9959536790847778,0.0,0.6762500286102295,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000061,True,True,,False,False,FP,|payment:account_type
embed_only_baseline,//source,aliases,aliases,source,aliases <-> source,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8796159029006958,0.0,,,False,0.16666666666666666,mixed,mixed,True,False,0.8413904309272766,0.0,0.6201244473457337,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000062,True,True,,False,False,FP,|
embed_only_baseline,//source,pattern,pattern,source,pattern <-> source,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.9102397561073303,0.0,,,False,0.3333333333333333,mixed,mixed,True,False,0.9493640065193176,0.0,0.6539687037467957,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000063,True,True,,False,False,FP,|
embed_only_baseline,//source,description,description,source,description <-> source,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.9497371912002563,0.0,,text:description,False,0.16666666666666666,mixed,mixed,True,False,0.9778881669044495,0.0,0.6754725098609925,3,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000064,True,True,,False,False,FP,|text:description
embed_only_baseline,//source,tags,source,tags,source <-> tags,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.9073012471199036,0.0,,,False,0.5,mixed,mixed,True,False,0.9985719919204712,0.0,0.6626348972320557,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000065,True,True,,False,False,FP,|
embed_only_baseline,//source,created_at,created at,source,created at <-> source,INAmex.json,INAmex.json,Payments Risk,Payments Risk,0.8318749666213989,0.0,,,False,1.0,mixed,mixed,True,False,0.9996609091758728,0.0,0.6326821684837342,4,PASS,FAIL,PASS,cosine >= tau_aanf,insufficient evidence signal count or aggregate score,same context,False,,,NOT_APPLIED,standard_pairwise,MERGE,embedding cosine threshold only,embed_only_baseline-000066,True,True,,False,False,FP,|
