fn_id,source_field,target_field,semantic_score,context_signature,model_reason,human_decision (ACCEPT/REJECT/HOLD),human_comments,record_type,DecisionType,CanonicalNode,Track,EvidenceScore,EmbeddingSimilarity,NameSimilarity,HardVetoes,PromotionRule,AuditFlags,ExpectedSchemaTruth(bool)
TP_0024,ISO20022.instd_amt,Razorpay.amount,0.7420212662040127,,"cmnf_canonical_safe:score=0.7420,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,production,0.7420212662040127,0.5486321891543218,0.5,,cmnf_canonical_safe_promotion,,True
TP_0025,ISO20022.instd_amt,Stripe.amount,0.7050380376197866,,"cmnf_canonical_safe:score=0.7050,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,discovery,0.7050380376197866,0.4429658217708188,0.5,,cmnf_canonical_safe_promotion,,True
TP_0026,ISO20022.instd_amt,Stripe.amount,0.7050380376197866,,"cmnf_canonical_safe:score=0.7050,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,production,0.7050380376197866,0.4429658217708188,0.5,,cmnf_canonical_safe_promotion,,True
TP_0027,ISO20022.instd_amt,UPI.txn_amount,0.7051397193706881,,"cmnf_canonical_safe:score=0.7051,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,discovery,0.7051397193706881,0.538494436297204,0.3333333333333333,,cmnf_canonical_safe_promotion,,True
TP_0028,ISO20022.instd_amt,UPI.txn_amount,0.7051397193706881,,"cmnf_canonical_safe:score=0.7051,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,production,0.7051397193706881,0.538494436297204,0.3333333333333333,,cmnf_canonical_safe_promotion,,True
TP_0029,Mastercard.primary_account_number,PPVisa.pan,0.9190765293621451,,"cmnf_canonical_safe:score=0.9191,min_ev=0.9",,,TP,ACCEPT_MERGE,card_primary_account_number,discovery,0.9190765293621451,0.7687900838918432,1.0,,cmnf_canonical_safe_promotion,,True
TP_0030,Mastercard.primary_account_number,PPVisa.pan,0.9190765293621451,,"cmnf_canonical_safe:score=0.9191,min_ev=0.9",,,TP,ACCEPT_MERGE,card_primary_account_number,production,0.9190765293621451,0.7687900838918432,1.0,,cmnf_canonical_safe_promotion,,True
TP_0031,Mastercard.transaction_amount,Plaid.transaction_amount,0.89709667585691,,"cmnf_canonical_safe:score=0.8971,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,discovery,0.89709667585691,0.7059905024483142,1.0,,cmnf_canonical_safe_promotion,,True
TP_0032,Mastercard.transaction_amount,Plaid.transaction_amount,0.89709667585691,,"cmnf_canonical_safe:score=0.8971,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,production,0.89709667585691,0.7059905024483142,1.0,,cmnf_canonical_safe_promotion,,True
TP_0033,Mastercard.transaction_amount,Razorpay.amount,0.7627822127620683,,"cmnf_canonical_safe:score=0.7628,min_ev=0.68",,,TP,ACCEPT_MERGE,payment_amount,discovery,0.7627822127620683,0.6079491793201951,0.5,,cmnf_canonical_safe_promotion,,True
