metric,value
candidate_generation_ms,37.957499995827675
candidate_pair_count,100
candidate_backend_requested,pairwise
candidate_backend_used,pairwise
hnsw_available,False
canonical_first_enabled,True
effective_comparisons,100
total_runtime_ms,21143.609399989247
embedding_backend,sentence-transformers
dbnf_mode,version_drift
eenf_mode,not_evaluated
