record_type,candidate_generation_mode,num_attributes,num_pairs_evaluated,num_candidates_considered,embedding_ms,index_build_ms,query_ms,nf_validation_ms,total_pipeline_ms,hnsw_M,hnsw_ef_search,top_k,speedup_vs_bruteforce_query,note,dbnf_mode,entity,canonical_name,semantic_family,model_v1,model_v2,embedding_dim,drift_distance,tau_dbnf,drift_detected,fork_required,drift_source,ground_truth_label,classification,delta_context
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::customer_identifier,customer_identifier,identifier:customer,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.06624679185761184,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::debtor_account,debtor_account,payment_account:debtor_account,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.07363480532399769,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::debtor_name,debtor_name,party:debtor_name,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.06760941398562337,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::end_to_end_identifier,end_to_end_identifier,identifier:end_to_end_payment,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.07727829806248909,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::merchant_category_code,merchant_category_code,merchant:category_code,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.07257504635895717,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::message_identifier,message_identifier,identifier:message,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.06419412795686641,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::order_identifier,order_identifier,identifier:order,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.06635882005537141,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::payee_virtual_payment_address,payee_virtual_payment_address,upi:payee_vpa,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.06884347495270438,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::payer_account,payer_account,payment_account:payer_account,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.07643292326259365,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
dbnf_version_drift,,,,,,,,,,,,,,,version_drift,canon::payment_amount,payment_amount,payment:amount,all-MiniLM-L6-v2,all-MiniLM-L6-v2,384,0.07663489330320239,0.25,False,False,simulated_perturbation,,,"{""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}"
